,Peak_Thicknesses,Peak_Thickness_M,Peak_Thickness_STD,Peak_Loc,Peak_Diff,Trough_Thicknesses,Trough_Thickness_M,Trough_Thickness_STD,Trough_Loc,Trough_Diff,Thickness_M,Thickness_STD
ND70-6-2_50x50um_apt_156 scans_Chip1_map_refelcted0001,[45.94 45.63],45.78,0.15,[2084.28 2154.67],[70.39 70.87],"[43.56, 45.02]",44.29,0.73,[2041.85 2116.1  2192.28],[74.25 71.84],45.04,0.91
ND70-6-2_50x50um_apt_156 scans_Chip1_map_refelcted0002,[45.32],45.32,0.0,[2046.19 2114.17],[71.36],[41.66],41.66,0.0,[2080.9  2158.53],[77.62],43.49,1.83
ND70-6-2_50x50um_apt_156 scans_Chip1_map_refelcted0003,[41.66 40.41],41.04,0.62,[2091.03 2168.65],[77.62 80.03],"[38.55, 39.46]",39.0,0.46,[2048.6  2132.49],[83.89 81.96],40.02,1.15
ND70-6-2_50x50um_apt_156 scans_Chip1_map_refelcted0004,[42.73 42.73],42.73,0.0,[2080.42 2156.12],[75.7 75.7],[43.56],43.56,0.0,[2042.82 2117.06],[74.25],43.01,0.39
ND70-6-2_50x50um_apt_156 scans_Chip1_map_refelcted0005,[50.44 34.94 41.15],42.18,6.37,[2025.46 2066.92 2159.49],[64.12 78.59],"[55.44, 50.82]",53.13,2.31,[2047.64 2105.98 2192.76],[58.34 63.64],46.56,7.43
ND70-6-2_50x50um_apt_156 scans_Chip1_map_refelcted0006,[43.84 41.66],42.75,1.09,[2040.4  2114.17 2191.8 ],[73.77 77.62],"[41.66, 40.65]",41.16,0.5,[2068.85 2146.47],[77.62 79.55],41.95,1.17
ND70-6-2_50x50um_apt_156 scans_Chip1_map_refelcted0007,[46.58],46.58,0.0,[2091.03],[],[40.65],40.65,0.0,[2058.24 2132.97],[79.55],43.61,2.96
ND70_03-01_30June2022_150x150_rf_sp1,[],,,[2098.26],[],[34.58],34.58,0.0,[2145.03],[],34.58,0.0
ND70_03-01_30June2022_150x150_rf_sp2,[36.46],36.46,0.0,[2079.46],[88.71],[36.26],36.26,0.0,[2123.81],[113.78],36.36,0.1
ND70_03-01_30June2022_150x150_rf_sp3,[],,,[2117.06],[92.09],[35.87],35.87,0.0,[2072.71 2164.8 ],[90.16],35.87,0.0
ND70_4_2_150x150_29June2022_256s_rf_sp1,[51.21 51.21],51.21,0.0,[2036.06 2095.85 2159.01],[63.16 63.16],"[53.24, 54.54]",53.89,0.65,[2064.03 2121.89 2187.46],[60.75 59.3 ],52.55,1.42
ND70_4_2_150x150_29June2022_256s_rf_sp3,[52.],52.0,0.0,[2023.05 2092.96],[62.2],[],,,[2060.17],[],52.0,0.0
ND70_5_2_150x150_rf_sp3,[52.41 52.41],52.41,0.0,[2075.6  2137.31 2195.65],[61.71 61.71],"[52.82, 51.6]",52.21,0.61,[2045.22 2104.53 2167.21],[61.23 62.68],52.31,0.44
ND70_5_3_100x60_rf_sp1,[40.65],40.65,0.0,[2076.08 2161.42],[77.62 79.55],[],,,[2122.37],[87.75],40.65,0.0
ND70_5_3_95x80_29June2022_256s_rf_sp2,[40.41],40.41,0.0,[2091.51],[88.71],[],,,[2130.08],[80.52],40.41,0.0
